Region	SampleID	Unassigned; p__unassigned; c__unassigned	k__Bacteria; p__Actinobacteria; c__Actinobacteria	k__Bacteria; p__Actinobacteria; c__Coriobacteriia	k__Bacteria; p__Bacteroidetes; c__Bacteroidia	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia	k__Bacteria; p__Firmicutes; c__Bacilli	k__Bacteria; p__Firmicutes; c__Clostridia	k__Bacteria; p__Firmicutes; c__Erysipelotrichia	k__Bacteria; p__Firmicutes; c__Negativicutes	k__Bacteria; p__Firmicutes; c__unassigned	k__Bacteria; p__Fusobacteria; c__Fusobacteriia	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	k__Bacteria; p__Proteobacteria; c__unassigned	k__Bacteria; p__Synergistetes; c__Synergistia	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae	k__Bacteria; p__unassigned; c__unassigned
v3	Patient3-fresh	6.6185286758403	0.138592551251205	0.416578766766628	20.0537279794061	0	1.92694383396666	57.6673191287095	0.590153252919389	2.81698039142382	0	0	0	0.0093463184851487	0.265969520320232	0.682815324757864	8.76925007810852	0	0.0245674657323909	0.0192267123123059	0
v3	Patient3-frozen	12.1991857297165	0	0.296058529503085	25.5052017964674	0	0.795028665637532	40.0614857152853	1.75011260719549	2.48173139576072	0	0	0	0	0.487162779714087	2.2600154807562	14.1640172999637	0	0	0	0
v4	Patient1-fresh	19.2693660549322	1.48346054609016	1.12956309555231	29.3610992905891	0	2.92436721304411	34.7218107483558	0	1.82065963899228	0	8.72731581980856	0.00107731339585342	0.0759505944076662	0	0.460012820029411	0.0253168648025554	0	0	0	0
v4	Patient1-frozen	20.6798475503222	2.70362514932105	1.39528836230365	20.9260749083758	0	2.95147777046409	39.0225667779972	0.00325052617892521	2.68005883452384	0	8.87799962618949	0	0.0398189456918339	0	0.705364180826771	0.0146273678051635	0	0	0	0
v4	Patient2-fresh	6.72950905410311	10.8919968250648	0.622681097444669	30.7728752238145	0	1.7591356300339	37.5620681380481	0	1.62807725675751	0	0.00553767774407315	0	0.189511638352725	0.0769121908899048	9.52542101733293	0.236274250413788	0	0	0	0
v4	Patient2-frozen	8.50480573981319	8.71124949235143	0.594512882992645	26.9561391633952	0	1.87040296015523	45.0746807454537	0	1.55566084562971	0	0.00902486349893958	0	0.192906457289833	0.0936329588014981	6.18315960471098	0.253824285907676	0	0	0	0
v4	Patient3-fresh	6.54806408544726	2.04539385847797	0.68758344459279	26.9893190921228	0	1.00133511348465	52.9118825100134	0	2.56875834445928	0	0.166221628838451	0	0.0507343124165554	0.268357810413885	0.430574098798398	6.30440587449933	0	0	0	0.027369826435247
v4	Patient3-frozen	8.89645448605523	2.02723614979882	0.577736510884143	33.4898036383645	0	0.392035489528526	47.9366553182709	0	2.07710031294061	0	0.106606141889336	0	0.053303070944668	0.333574056879535	1.294748787785	2.81474603665876	0	0	0	0
v67	Patient1-fresh	25.4991875473566	1.87499178787759	1.63541680353537	37.6886050779385	0	1.57147174372922	17.2301277587257	1.11422076812908	0.108181025836432	0.0236509125310418	12.7526596327101	0	0	0	0	0.00963555695709111	0	0	0.491851384673333	0
v67	Patient1-frozen	30.4686149621527	3.42533436390142	1.55433148418111	27.6316175679245	0	1.92155289651596	21.0105437551162	1.11960133973851	0.104361324997472	0.0150019404683867	12.3384437769668	0	0	0	0	0.0156541987496209	0	0	0.39494238928731	0
v67	Patient2-fresh	23.2528737764749	9.91091756760697	0.317261742262604	45.065479961091	0.00079514221118447	1.61652411533803	19.2101057274093	0.134379033690175	0.115295620621748	0	0.0145776072050486	0	0	0.00291552144100972	0.0463832956524274	0.263457119305788	0	0.049033769689709	0	0
v67	Patient2-frozen	23.4591225739437	10.430207482622	0.2491447410513	38.7755025234373	0	1.82078890816645	24.5768867445213	0.134733862985446	0.117798042219119	0	0.00564527358877569	0	0	0.00602162516136074	0.0350006962504093	0.313124508390758	0	0.0760230176621793	0	0
v67	Patient3-fresh	24.5770072185306	2.92223487672782	0.735782116725524	28.5009053889075	0	0.75339828099011	31.2891754815768	0.198284267536277	0.219587535949265	0	0.301113505452817	0	0	0.0143387383548961	0.00614517358066974	10.0592394733177	0	0.129868001671487	0.273255385220448	0.0196645554581432
v67	Patient3-frozen	31.0854615022818	1.49406146584125	0.778386532260457	37.6125524891844	0	0.295761458637887	19.1160206948276	0.858470938682463	0.292795369511146	0	0.194914428328694	0	0	0	0.00677963228969369	7.90674615785526	0	0.0169490807242342	0.324574895869085	0.0165253537061284
v8	Patient1-fresh	31.0042415266394	4.6579251413196	0.479207214472368	0.0473003884835185	0	5.53104378775308	24.9273047308143	4.75795383171917	5.39457053573506	0	18.8937912424494	0	3.11096981304715	0	1.07395144343727	0.0736645394415452	0	0.0480758046881664	0	0
v8	Patient1-frozen	29.8305007982427	7.28835244964277	0.448374641923029	0.0373645534935858	0	5.55486361937975	27.7369535434052	3.90629422887487	6.30781598523534	0	15.3715508554218	0	1.88747608102447	0	1.53987250761444	0.0384968126903611	0	0.052083923051665	0	0
v8	Patient2-fresh	12.7500389049164	24.311981517172	0.222057291978405	0.0682332379664101	0	2.72454122125525	40.191172773741	0.381268180566695	1.21922022576822	0	0.011372206327735	0	0.294480290170823	0.0628464033901146	16.9583537833535	0.731412428025905	0	0.0730215353675617	0	0
v8	Patient2-frozen	14.9312133163566	21.9755080069977	0.26914278024492	0.132501061043653	0	3.25869797004234	47.3701644876453	0.406819663985591	0.92750742730557	0	0.00517582269701769	0	0.276388932020745	0.0517582269701769	9.58355330579796	0.695630570479178	0	0.115938428413196	0	0
v8	Patient3-fresh	9.74342614956934	5.71806173136894	1.06770138215246	0.307289666082903	0	0.785802175767085	63.3524521324731	0.429684702573551	0.503251931953568	0	0.16796765646057	0	0.0403643205447881	0.248696297550146	0.753250304359998	16.5024967285369	0	0.156248982754018	0	0.223305837852618
v8	Patient3-frozen	15.5296893025185	6.83741850186004	1.318228363297	0.537920128582354	0	0.365526448819816	59.1673255648161	1.12768798040156	0.720683352992262	0	0.0985106741500214	0	0.0414781785894827	0.413485592813906	2.92421159055853	10.5354573617286	0	0.0220352823756627	0	0.360341676496131
v9	Patient1-fresh	0	0	0	0	0	0	0	0	0	0	0	0	0	2.30769230769231	0	97.6923076923077	0	0	0	0
v9	Patient1-frozen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0
v9	Patient2-fresh	0.158499537709682	0	0	0	0	0	0	0	0	0	0	0	0	58.0306432439572	0.429269581297055	41.3815876370361	0	0	0	0
v9	Patient2-frozen	0.115573533660792	0	0	0	0	0	0	0	0	0	0	0	0	55.5041895405952	0	44.380236925744	0	0	0	0
v9	Patient3-fresh	0.147906635285989	0	0	0.0615377971627837	0	0	0.0215922095308013	0	0	0	0	0	0	4.38213892427612	0	95.3868244337443	0	0	0	0
v9	Patient3-frozen	0.410756339339504	0	0	0.116837358745459	0	0	0	0	0	0	0	0	0	8.109242930427	0	91.363163371488	0	0	0	0
