# Constructed from biom file
#OTU ID	Patient1-fresh	Patient1-frozen	Patient2-fresh	Patient2-frozen	Patient3-fresh	Patient3-frozen
AJ311620	38.0	27.0	47.0	21.0	0.0	0.0
KC311367	22.0	9.0	63.0	38.0	0.0	0.0
JF824809	0.0	0.0	0.0	0.0	105.0	25.0
L16475	0.0	0.0	66.0	63.0	0.0	0.0
DQ100449	74.0	50.0	0.0	0.0	0.0	0.0
FR749945	83.0	41.0	0.0	0.0	0.0	0.0
EU526291	0.0	0.0	58.0	63.0	0.0	0.0
HM347055	0.0	0.0	0.0	0.0	88.0	25.0
AB020729	44.0	30.0	20.0	13.0	0.0	0.0
AP010969	46.0	61.0	60.0	0.0	0.0	0.0
EU024161	49.0	28.0	0.0	9.0	14.0	0.0
AB547651	0.0	0.0	58.0	40.0	26.0	0.0
AJ270473	0.0	0.0	49.0	34.0	0.0	0.0
AY546096	0.0	0.0	47.0	35.0	0.0	0.0
JN038565	0.0	0.0	0.0	0.0	82.0	0.0
JTDA01000039	0.0	0.0	0.0	0.0	65.0	15.0
AB525415	0.0	0.0	0.0	0.0	54.0	23.0
HQ337895	0.0	0.0	23.0	18.0	33.0	0.0
AY438672	0.0	0.0	17.0	13.0	34.0	0.0
AB050107	0.0	0.0	0.0	0.0	56.0	0.0
KC753457	21.0	30.0	0.0	0.0	0.0	0.0
CP003274	0.0	0.0	0.0	0.0	44.0	0.0
CBXK010002535	0.0	0.0	0.0	0.0	41.0	0.0
AY033814	0.0	0.0	0.0	0.0	34.0	7.0
AJ518871	21.0	13.0	0.0	0.0	0.0	0.0
AGZD01000007	0.0	19.0	9.0	6.0	0.0	0.0
ATFO01000001	0.0	0.0	16.0	12.0	5.0	0.0
AEPE02000003	29.0	3.0	0.0	0.0	0.0	0.0
FP929059	0.0	0.0	0.0	0.0	23.0	7.0
EU826403	18.0	11.0	0.0	0.0	0.0	0.0
KJ459862	0.0	0.0	0.0	0.0	26.0	0.0
Y08828	25.0	0.0	0.0	0.0	0.0	0.0
AM419459	0.0	0.0	14.0	11.0	0.0	0.0
AB021701	0.0	0.0	25.0	13.0	0.0	0.0
AB599947	0.0	0.0	0.0	0.0	24.0	0.0
JN020356	0.0	0.0	0.0	0.0	12.0	11.0
EU266549	0.0	0.0	21.0	0.0	0.0	0.0
AF473835	0.0	0.0	0.0	0.0	18.0	0.0
Y18184	0.0	0.0	0.0	0.0	18.0	0.0
ABCA03000043	0.0	0.0	16.0	12.0	0.0	0.0
AB547703	10.0	5.0	0.0	0.0	0.0	0.0
GQ246169	0.0	0.0	15.0	0.0	0.0	0.0
FJ263921	14.0	0.0	0.0	0.0	0.0	0.0
AB490804	0.0	0.0	7.0	4.0	6.0	0.0
AY850117	0.0	0.0	11.0	0.0	0.0	0.0
DQ279736	0.0	9.0	0.0	0.0	0.0	0.0
DQ174168	7.0	6.0	0.0	0.0	0.0	0.0
JRND01000008	0.0	7.0	0.0	0.0	0.0	0.0
X87757	0.0	0.0	6.0	0.0	0.0	0.0
GU591823	0.0	0.0	0.0	6.0	0.0	0.0
AB595128	0.0	4.0	0.0	0.0	0.0	0.0
ADGQ01000048	0.0	4.0	0.0	0.0	0.0	0.0
AJ575186	0.0	0.0	0.0	0.0	4.0	0.0
AY649432	2.0	0.0	0.0	0.0	0.0	0.0
JX435052	0.0	0.0	2.0	0.0	0.0	0.0
cf25fadf91bc0c214ce16ca55bfd150f	5795.0	3341.0	0.0	0.0	0.0	0.0
af529491386e460ef06661af0a8dc739	3217.0	3691.0	0.0	0.0	0.0	0.0
b5f1351f9e881974df7d8d9e429319b5	3899.0	2052.0	0.0	0.0	0.0	0.0
c74fd4d06c1c4e3e53e4b2f522b20cc3	0.0	0.0	27.0	24.0	2603.0	2068.0
b48ea6bc19a77a0772e0eb42434df686	1371.0	1724.0	567.0	617.0	467.0	72.0
6a586dfe1f7cf5ad82794de6165c5681	2384.0	2079.0	0.0	0.0	0.0	0.0
21ef1da7697f62db4f72caa5c70f4fb5	2676.0	1325.0	0.0	0.0	93.0	58.0
80a816fb2d059b93e3d93818f16668e6	0.0	0.0	1309.0	960.0	1112.0	56.0
4abd84a304eb50eee4cca5a60e2268f2	0.0	0.0	282.0	197.0	1161.0	1147.0
1610ca2b275ef7b3d82c315ee4ac7921	1377.0	1085.0	0.0	0.0	0.0	0.0
d1854fe476780f870e6285a78f289936	1410.0	743.0	0.0	0.0	0.0	0.0
742c949dcaf5acb34c47ac973483a886	1133.0	893.0	22.0	0.0	0.0	0.0
44cffc6ed791257901a7b1a0d63f8bef	0.0	0.0	1601.0	861.0	0.0	0.0
