Region	SampleID	Unassigned; p__unassigned; c__unassigned; o__unassigned	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	k__Bacteria; p__DeinococcusThermus; c__Deinococci; o__Deinococcales	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales
v4	atcc1	0.0109165198134835	1.75522043572509	4.02039829702291	0.240943187311885	20.7842739734573	2.04216895653666	18.2391653540851	18.1682079752975	10.0174664317016	3.04882803362288	5.20873945386211	3.15019571760523	4.46797560937573	8.8455000545826
v4	atcc2	0.017449781542158	1.84028080725374	3.60405103389956	0.227518305491983	19.9638923751166	1.92954315129632	19.1128799522144	18.340391546252	11.1134974060229	2.95773797139578	4.85707957771529	3.50941952630555	4.28325022315586	8.24300834233787
v4	atcc3	0	1.04191193783847	5.37438191664705	0.0941841299740994	21.7035554509065	1.1596421003061	14.9576171415117	17.5888862726631	7.81139627972687	4.385448551919	7.19919943489522	3.0374381916647	4.79161761243231	10.854720979515
v4	atcc4	1.69881352706047	1.55764228158112	3.91948480426369	0.123723114015608	18.7472241609035	0.929509548886492	17.9953683141933	17.7891631241672	8.66854894993972	4.41279106655669	6.61442801852674	2.19687837066176	5.23126705158302	10.1151576676607
v4	atcc5	1.22645641699518	1.33596145422689	4.15900131406045	0.1598773543583	20.0306614104249	1.29872974156811	17.3609286027157	17.2295225580377	8.88961892247043	4.32106876916338	6.37757336837495	2.58650897941305	5.05694261936049	9.96714848883049
v67	atcc1	0.488758047966007	1.16516196733514	3.72526163158861	2.34195487711263	24.3009157428683	3.33316963858785	13.4704406059463	14.691172631617	20.2753173308796	2.47558148250577	0	3.62239240732077	8.16647238685031	1.94340124942168
v67	atcc2	0.452681864018785	1.1604113148384	3.77455707103793	2.22586984844358	22.7448714457113	3.31157025401709	13.7258293646996	14.27972058856	22.0220525994244	2.51293639635794	0	4.0818654909206	7.93076543718763	1.77686832478268
v67	atcc3	3.47497522299306	0.89816650148662	2.61397423191278	2.06268582755203	30.1040634291378	2.88032705649158	11.8372150644202	11.2239841427156	18.7004459861249	2.83696729435084	0	2.1494053518335	8.99405351833498	2.22373637264618
v67	atcc4	0.219046804141354	0.742705570291777	2.16650979721058	1.29032258064516	28.5753401215025	3.89492598613844	14.1011380165996	13.1205613074356	20.0034226063147	3.49276974416018	0	1.41182510481732	8.33746898263027	2.64396337811243
v67	atcc5	0.857572987795043	0.865637937523523	2.90069358567665	1.94902951771601	31.2704984138932	3.04317436421313	11.5463196946072	10.8150975858917	21.6140652723265	3.02973278133233	0	2.13452336147105	8.01387171353299	1.95978278402065
v8	atcc1	0.0576948681154489	1.44902880305339	5.84863233575455	5.31458496678847	0.0155332337233901	5.98103466130154	5.57273251771528	24.6061215734426	0.223382694498277	12.0545290471471	7.92490791011435	0.787756853114783	12.2276136514934	17.9364468837374
v8	atcc2	0.0359985086332138	1.47015337936	5.86325709363469	5.56948354996722	0.0057854746017665	5.59776809246474	5.72183438114707	23.8933672747843	0.223705017934971	11.7541558992556	8.27322868052609	0.66211542664661	12.3642020544863	18.5649451665574
v8	atcc3	0.0420875420875421	1.64141414141414	5.99747474747475	7.03563411896745	0	6.6638608305275	2.51122334455668	21.050785634119	0.0841750841750842	13.1102693602694	9.79236812570146	0.364758698092031	13.2716049382716	18.4343434343434
v8	atcc4	1.42256493776278	1.59872368005584	5.75673474814286	6.12068535722002	0	6.477988466588	1.73001179931198	18.5731141874263	0.829275588719193	14.7773918534891	9.98454456317618	0.314094361258372	13.4528775364366	18.9619929204128
v8	atcc5	0.947938609690039	1.55883238037918	5.79596749924767	6.16310562744508	0	6.84321396328619	2.07643695455913	20.2226903400542	1.36322600060187	12.7234426722841	9.38007824255191	0.409268733072525	13.8007824255191	18.7150165513091
v9	atcc1	0.221685580535676	0	0	0	0	0	0.00990158920506741	0	0	0	0	0	53.9653114324849	45.8031013977743
v9	atcc2	0.331948972149035	0	0	0	0	0	0	0	0	0	0	0	57.0513106774438	42.6167403504071
v9	atcc3	0	0	0	0	0	0	0	0	0	0	0	0	51.7734855136084	48.2265144863916
v9	atcc4	0.021225413895571	0	0	0	0	0	0	0	0	0	0	0	51.9621715956795	48.016602990425
v9	atcc5	0.0566294170945334	0	0	0	0	0	0	0	0	0	0	0	53.881002718212	46.0623678646934
