Region	SampleID	Unassigned; p__unassigned; c__unassigned; o__unassigned; f__unassigned	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae	k__Bacteria; p__DeinococcusThermus; c__Deinococci; o__Deinococcales; f__Deinococcaceae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae
v4	atcc1	0.0109165198134835	1.75522043572509	4.02039829702291	0.240943187311885	12.5298254916333	8.25444848182399	2.04216895653666	8.2178001653073	10.0213651887778	1.72792913619138	5.96119956957722	10.4790792695289	10.0174664317016	3.04882803362288	5.20873945386211	3.15019571760523	4.46797560937573	6.16393493754191	2.68156511704069
v4	atcc2	0.017449781542158	1.84028080725374	3.60405103389956	0.227518305491983	12.0376646823133	7.92622769280331	1.92954315129632	8.70341411687327	10.4094658353412	1.89799931543165	6.32823039080799	10.1141618400124	11.1134974060229	2.95773797139578	4.85707957771529	3.50941952630555	4.28325022315586	5.7483607272532	2.49464761508467
v4	atcc3	0	1.04191193783847	5.37438191664705	0.0941841299740994	13.7567694843419	7.94678596656463	1.1596421003061	5.60395573345891	9.35366140805274	1.60113020955969	5.72757240404992	10.2601836590534	7.81139627972687	4.385448551919	7.19919943489522	3.0374381916647	4.79161761243231	7.94678596656463	2.90793501295032
v4	atcc4	1.69881352706047	1.55764228158112	3.91948480426369	0.123723114015608	11.5633525791511	7.18387158175243	0.929509548886492	6.34160269018463	11.6537656240086	1.91770826724193	5.51678193008058	10.3546729268447	8.66854894993972	4.41279106655669	6.61442801852674	2.19687837066176	5.23126705158302	7.14897531882495	2.96618234883573
v4	atcc5	1.22645641699518	1.33596145422689	4.15900131406045	0.1598773543583	12.4989049496277	7.5317564607972	1.29872974156811	5.99868593955322	11.3622426631625	1.75865089794131	5.32851511169514	10.1423565484012	8.88961892247043	4.32106876916338	6.37757336837495	2.58650897941305	5.05694261936049	7.06964520367937	2.89750328515112
v67	atcc1	0.488758047966007	1.16516196733514	3.72526163158861	2.34195487711263	15.1008402709751	9.20007547189318	3.33316963858785	7.6366183422547	5.83382226369156	1.6554708076268	7.31534586545843	5.72035595853181	20.2753173308796	2.47558148250577	0	3.62239240732077	8.16647238685031	0.144223686285051	1.79917756313663
v67	atcc2	0.452681864018785	1.1604113148384	3.77455707103793	2.22586984844358	14.203537543152	8.54133390255931	3.31157025401709	7.82624377102394	5.8995855936757	1.5678249924553	6.95841951463671	5.75347608146801	22.0220525994244	2.51293639635794	0	4.0818654909206	7.93076543718763	0.193585902824293	1.58328242195838
v67	atcc3	3.47497522299306	0.89816650148662	2.61397423191278	2.06268582755203	21.0170961347869	9.08696729435084	2.88032705649158	5.94028741328048	5.89692765113974	1.3689296333003	5.63057482656095	4.22447968285431	18.7004459861249	2.83696729435084	0	2.1494053518335	8.99405351833498	0.0867195242814668	2.13701684836472
v67	atcc4	0.219046804141354	0.742705570291777	2.16650979721058	1.29032258064516	20.6109352271755	7.96440489432703	3.89492598613844	7.13955677248225	6.96158124411739	1.74895182681612	5.58227089928981	5.78933858132968	20.0034226063147	3.49276974416018	0	1.41182510481732	8.33746898263027	0.0342260631470865	2.60973731496535
v67	atcc5	0.857572987795043	0.865637937523523	2.90069358567665	1.94902951771601	21.9178450454325	9.35265336846067	3.04317436421313	6.38206355180386	5.16425614280338	1.3307167051992	5.1965159417173	4.28786493897521	21.6140652723265	3.02973278133233	0	2.13452336147105	8.01387171353299	0.0833378138609603	1.87644497015969
